"sponsor_name","phase","trial_count","rank_within_phase"
Enliven Therapeutics,PHASE1,1,92
EpiBiologics,PHASE1,1,92
"Vitrac Therapeutics, LLC",PHASE1,1,92
"Nurix Therapeutics, Inc.",PHASE1,1,92
NRG Oncology,PHASE1,1,92
NovalGen Ltd.,PHASE1,1,92
"Nitto BioPharma, Inc.",PHASE1,1,92
Albert Einstein College of Medicine,PHASE1,1,92
"Everest Medicines (Beijing) Co., Ltd.",PHASE1,1,92
"Exscientia AI Ltd., a wholly owned subsidiary of Recursion Pharmaceuticals, Inc.",PHASE1,1,92
"NGM Biopharmaceuticals, Inc",PHASE1,1,92
Fate Therapeutics,PHASE1,1,92
"NextCure, Inc.",PHASE1,1,92
NewVac LLC,PHASE1,1,92
New Mexico Cancer Research Alliance,PHASE1,1,92
First Affiliated Hospital of Zhejiang University,PHASE1,1,92
NewLink Genetics Corporation,PHASE1,1,92
Neelesh Sharma MD PhD,PHASE1,1,92
Viralytics,PHASE1,1,92
"Five Prime Therapeutics, Inc.",PHASE1,1,92
Fore Biotherapeutics,PHASE1,1,92
"Nathan Pennell, MD, PhD",PHASE1,1,92
Fox Chase Cancer Center,PHASE1,1,92
"Alliance Foundation Trials, LLC.",PHASE1,1,92
Fudan University,PHASE1,1,92
"Nanjing Sanhome Pharmaceutical, Co., Ltd.",PHASE1,1,92
VA Office of Research and Development,PHASE1,1,92
Mythic Therapeutics,PHASE1,1,92
"Molecular Templates, Inc.",PHASE1,1,92
Milton S. Hershey Medical Center,PHASE1,1,92
"Millennium Pharmaceuticals, Inc.",PHASE1,1,92
Mersana Therapeutics,PHASE1,1,92
"Kestrel Therapeutics, Inc.",PHASE1,1,92
GeneCraft Inc.,PHASE1,1,92
"Merck KGaA, Darmstadt, Germany",PHASE1,1,92
Mendus,PHASE1,1,92
Valo Therapeutics Oy,PHASE1,1,92
"Genocea Biosciences, Inc.",PHASE1,1,92
VA Ann Arbor Healthcare System,PHASE1,1,92
MedImmune LLC,PHASE1,1,92
"Alterome Therapeutics, Inc.",PHASE1,1,92
Gilead Sciences,PHASE1,1,92
ALX Oncology Inc.,PHASE1,1,92
"Mast Therapeutics, Inc.",PHASE1,1,92
Golden Biotechnology Corporation,PHASE1,1,92
"USWM CT, LLC",PHASE1,1,92
MacroGenics,PHASE1,1,92
Maastricht Radiation Oncology,PHASE1,1,92
"Lyudmila Bazhenova, M.D.",PHASE1,1,92
Lycera Corp.,PHASE1,1,92
Lu Shun,PHASE1,1,92
Ludwig Institute for Cancer Research,PHASE1,1,92
Louisiana State University Health Sciences Center Shreveport,PHASE1,1,92
