"nct_id","phase","overall_status","enrollment","sponsor_name"
NCT06529822,PHASE1,RECRUITING,64,Washington University School of Medicine
NCT01134250,PHASE1/PHASE2,COMPLETED,48,Philogen S.p.A.
NCT04631146,,UNKNOWN,450,Guangdong Association of Clinical Trials
NCT00702975,PHASE2,COMPLETED,35,Radboud University Medical Center
NCT04179890,,COMPLETED,462,Boehringer Ingelheim
NCT01268059,PHASE1/PHASE2,TERMINATED,99,MedImmune LLC
NCT00556322,PHASE3,COMPLETED,424,Hoffmann-La Roche
NCT03264794,PHASE4,UNKNOWN,100,"Jiangsu Famous Medical Technology Co., Ltd."
NCT06172478,PHASE2,RECRUITING,740,Daiichi Sankyo
NCT03576937,,COMPLETED,207,"University Health Network, Toronto"
NCT04824079,PHASE2,COMPLETED,16,Medolution Ltd.
NCT03198923,PHASE1,UNKNOWN,30,Wenxiang Wang
NCT01831089,PHASE1,COMPLETED,69,PharmaMar
NCT05204628,PHASE3,UNKNOWN,238,"Xuanzhu Biopharmaceutical Co., Ltd."
NCT00063895,PHASE1/PHASE2,COMPLETED,80,National Cancer Institute (NCI)
NCT01328951,PHASE3,COMPLETED,643,Hoffmann-La Roche
NCT02554591,,TERMINATED,6,Washington University School of Medicine
NCT06477055,,RECRUITING,60,Hunan Province Tumor Hospital
NCT05689671,PHASE4,ACTIVE_NOT_RECRUITING,136,Nikolaj Frost MD
NCT01649947,PHASE2,COMPLETED,32,"Rutgers, The State University of New Jersey"
NCT06928389,PHASE3,RECRUITING,536,Akeso
NCT00881712,NA,TERMINATED,15,University of Florida
NCT00661778,PHASE2,COMPLETED,50,Hoffmann-La Roche
NCT04074967,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,70,Dan Zandberg
NCT07491497,PHASE1/PHASE2,RECRUITING,160,"TRIANA Biomedicines, Inc."
NCT05790460,NA,TERMINATED,55,Abramson Cancer Center at Penn Medicine
NCT04335292,PHASE2,RECRUITING,200,Mark Vincent
NCT05240131,PHASE1/PHASE2,UNKNOWN,88,Galecto Biotech AB
NCT07098338,PHASE2,RECRUITING,278,AstraZeneca
NCT07428044,PHASE2,RECRUITING,14,Memorial Sloan Kettering Cancer Center
NCT00544960,PHASE2,COMPLETED,106,Ascenta Therapeutics
NCT03334617,PHASE2,ACTIVE_NOT_RECRUITING,528,AstraZeneca
NCT05245071,PHASE2,TERMINATED,22,Sanofi
NCT01355497,PHASE3,COMPLETED,330,GTx
NCT03798743,PHASE2,COMPLETED,30,Hunan Province Tumor Hospital
NCT07590531,PHASE1/PHASE2,NOT_YET_RECRUITING,118,Multitude Therapeutics Inc.
NCT03386929,PHASE1/PHASE2,TERMINATED,15,Worldwide Innovative Network Association
NCT03228368,,UNKNOWN,10,First Affiliated Hospital of Zhejiang University
NCT06333951,PHASE1,ACTIVE_NOT_RECRUITING,49,Amgen
