"nct_id","phase","overall_status","enrollment","start_date"
NCT03770299,PHASE2,WITHDRAWN,0,2021-01-15
NCT02387125,PHASE1,TERMINATED,79,2015-02-28
NCT00051974,PHASE2,COMPLETED,155,2002-12-31
NCT06165874,NA,UNKNOWN,20,2023-03-12
NCT07594522,PHASE1/PHASE2,RECRUITING,36,2026-05-12
NCT02043665,PHASE1,COMPLETED,85,2013-12-18
NCT06391008,PHASE2,UNKNOWN,44,2024-04-30
NCT06635824,PHASE3,ACTIVE_NOT_RECRUITING,191,2024-11-25
NCT03157128,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,857,2017-05-02
NCT07554859,PHASE2,NOT_YET_RECRUITING,90,2026-05-20
NCT02766348,PHASE2,UNKNOWN,60,2016-05-31
NCT05311709,PHASE2,UNKNOWN,100,2022-05-30
NCT06710132,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,250,2025-01-29
NCT06833229,,RECRUITING,200,2022-01-27
NCT03741231,,COMPLETED,70,2018-03-01
NCT05522660,PHASE3,RECRUITING,180,2022-11-30
NCT02066103,NA,COMPLETED,20,2014-07-31
NCT07004868,,RECRUITING,150,2025-06-03
NCT07637448,PHASE2,RECRUITING,32,2026-05-21
NCT07082179,PHASE2,RECRUITING,33,2025-09-04
NCT02043002,NA,COMPLETED,67,2013-04-30
NCT03384511,PHASE4,COMPLETED,38,2016-09-30
NCT07243899,,COMPLETED,3000,2020-01-01
NCT02243748,NA,COMPLETED,361,2015-02-28
NCT02304406,,COMPLETED,449,2015-01-21
NCT05905341,PHASE1,WITHDRAWN,0,2024-01-15
NCT01557959,PHASE2,COMPLETED,45,2007-07-31
NCT07603791,PHASE2,NOT_YET_RECRUITING,252,2026-06-30
NCT03003962,PHASE3,ACTIVE_NOT_RECRUITING,669,2017-01-02
NCT02812667,PHASE1,COMPLETED,18,2016-08-29
NCT00428220,NA,COMPLETED,223,2007-07-31
NCT06709274,NA,NOT_YET_RECRUITING,342,2024-11-30
NCT00254319,PHASE2,UNKNOWN,,
NCT00683514,PHASE3,COMPLETED,201,2005-04-30
NCT01516983,PHASE1/PHASE2,COMPLETED,15,2011-12-31
